@relation Learn_02

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.05934, 3.42942, 1.8025, 0.0369966, 21.4738, 32.5224, idle
1.05114, 2.14002, 1.795, 0.0273861, 9.42625, 14.0626, idle
1.04139, 1.74428, 1.8025, 0.0129904, 3.88625, 1.02301, idle
1.06513, 1.82746, 1.8075, 0.0147902, 3.74, 1.12229, idle
1.04537, 2.00569, 1.80625, 0.0149478, 3.56875, 1.04474, idle
1.05276, 3.25357, 1.80875, 0.0136359, 3.65625, 1.15512, idle
1.05688, 6.51725, 1.80875, 0.0136359, 4.3975, 2.37292, idle
1.05612, 4.88657, 1.8125, 0.0119896, 4.87875, 2.47164, idle
1.06193, 4.94344, 1.81375, 0.0131696, 5.1075, 2.60606, idle
1.06344, 6.18813, 1.81625, 0.0140868, 5.83625, 2.71377, idle
1.06799, 10.2764, 1.8225, 0.0119896, 7.3175, 3.47836, idle
1.08715, 17.5048, 1.8275, 0.0198431, 10.7813, 7.91888, idle
1.08347, 19.8274, 1.83375, 0.0179844, 14.3775, 10.029, idle
1.14412, 25.1937, 1.8525, 0.0435172, 18.2512, 11.6483, idle
0.930269, 59.1018, 1.82, 0.106771, 27.305, 23.6236, idle
1.06424, 99.1764, 1.8125, 0.108599, 47.4612, 50.8514, idle
1.0479, 55.1176, 1.8025, 0.110199, 58.085, 50.2465, idle
1.12147, 16.2425, 1.815, 0.118004, 59.4237, 49.0433, idle
1.07731, 13.7196, 1.8175, 0.118717, 60.325, 48.2622, idle
1.03928, 22.0806, 1.8075, 0.117234, 60.9763, 47.8851, idle
1.0173, 11.9324, 1.7925, 0.118506, 58.6238, 49.6686, idle
1.03426, 11.6879, 1.76875, 0.10018, 56.1988, 51.1489, idle
1.064, 21.8247, 1.8, 0.0618466, 49.7763, 50.6895, idle
1.0347, 35.1368, 1.8, 0.0618466, 34.8325, 24.289, idle
1.01735, 38.6206, 1.79375, 0.0687273, 31.4287, 16.7103, idle
1.04207, 24.2385, 1.76625, 0.0502338, 34.2362, 16.3515, idle
1.04062, 2.46274, 1.7575, 0.0376663, 32.0313, 18.9317, idle
1.0557, 3.24683, 1.76, 0.0403113, 28.2075, 20.8529, idle
1.04322, 3.07094, 1.7675, 0.0396074, 27.1125, 21.8092, idle
1.06226, 3.00722, 1.77375, 0.0432832, 25.49, 22.9582, idle
1.04043, 2.2865, 1.77125, 0.0416646, 22.0238, 23.9458, idle
1.05934, 3.42942, 1.77875, 0.0442825, 16.625, 22.1075, idle
1.05114, 2.14002, 1.7925, 0.0334477, 8.84875, 12.5376, idle
1.04139, 1.74428, 1.8025, 0.0129904, 3.88625, 1.02301, idle
1.06513, 1.82746, 1.8075, 0.0147902, 3.74, 1.12229, idle
1.04537, 2.00569, 1.80625, 0.0149478, 3.56875, 1.04474, idle
1.05276, 3.25357, 1.80875, 0.0136359, 3.65625, 1.15512, idle
1.05688, 6.51725, 1.80875, 0.0136359, 4.3975, 2.37292, idle
1.05612, 4.88657, 1.8125, 0.0119896, 4.87875, 2.47164, idle
1.06193, 4.94344, 1.81375, 0.0131696, 5.1075, 2.60606, idle
1.06344, 6.18813, 1.81625, 0.0140868, 5.83625, 2.71377, idle
1.06799, 10.2764, 1.8225, 0.0119896, 7.3175, 3.47836, idle
1.08715, 17.5048, 1.8275, 0.0198431, 10.7813, 7.91888, idle
1.08347, 19.8274, 1.83375, 0.0179844, 14.3775, 10.029, idle
1.01612, 18.5521, 1.81625, 0.057432, 17.345, 10.4233, idle
1.0098, 17.0673, 1.7975, 0.0749583, 19.5675, 10.4921, idle
1.01366, 11.0615, 1.78125, 0.0820728, 20.6412, 9.55488, idle
1.03213, 6.299, 1.76625, 0.0827553, 20.6963, 9.47947, idle
1.00881, 6.02618, 1.74625, 0.0842522, 20.6225, 9.57371, idle
1.00693, 9.54969, 1.7225, 0.0812019, 20.485, 9.67378, idle
1.03121, 5.24711, 1.69875, 0.0594637, 17.5588, 9.82889, idle
1.0263, 3.95568, 1.67875, 0.0169097, 14.1775, 8.79902, idle
1.05309, 10.8564, 1.6875, 0.0258602, 12.84, 7.07489, idle
1.02937, 6.13144, 1.69625, 0.0299739, 10.5688, 4.33577, idle
1.04062, 11.6289, 1.69875, 0.0301817, 10.9863, 4.92563, idle
1.05323, 15.7668, 1.70125, 0.0317952, 13.2312, 6.73909, idle
1.03909, 13.6916, 1.70875, 0.0305931, 14.7125, 6.77048, idle
1.04062, 2.46274, 1.72625, 0.0319912, 13.5462, 7.7042, idle
1.0557, 3.24683, 1.7425, 0.0369966, 13.3, 7.94366, idle
1.04322, 3.07094, 1.755, 0.0339116, 13.2338, 8.01301, idle
1.06226, 3.00722, 1.765, 0.03937, 11.43, 8.26933, idle
1.04043, 2.2865, 1.77125, 0.0388708, 10.6437, 8.70311, idle
1.05934, 3.42942, 1.785, 0.0339116, 8.96625, 8.21221, idle
1.05114, 2.14002, 1.795, 0.0273861, 6.11, 5.32774, idle
1.04139, 1.74428, 1.8025, 0.0129904, 3.88625, 1.02301, idle
1.06513, 1.82746, 1.8075, 0.0147902, 3.74, 1.12229, idle
1.04537, 2.00569, 1.80625, 0.0149478, 3.56875, 1.04474, idle
1.05276, 3.25357, 1.80875, 0.0136359, 3.65625, 1.15512, idle
1.05688, 6.51725, 1.80875, 0.0136359, 4.3975, 2.37292, idle
1.05612, 4.88657, 1.8125, 0.0119896, 4.87875, 2.47164, idle
1.06193, 4.94344, 1.81375, 0.0131696, 5.1075, 2.60606, idle
1.06344, 6.18813, 1.81625, 0.0140868, 5.83625, 2.71377, idle
1.06799, 10.2764, 1.8225, 0.0119896, 7.3175, 3.47836, idle
1.08715, 17.5048, 1.8275, 0.0198431, 10.7813, 7.91888, idle
1.00319, 30.0772, 1.8075, 0.0655267, 16.1412, 13.6137, idle
1.00901, 30.6087, 1.7925, 0.0761167, 21.3275, 16.1765, idle
1.05792, 46.804, 1.79, 0.0754983, 28.9913, 22.3048, idle
1.03523, 43.0872, 1.78125, 0.0755707, 36.8588, 24.2012, idle
1.00409, 35.03, 1.765, 0.0772981, 42.3225, 21.7429, idle
1.03894, 27.3305, 1.75625, 0.0733037, 45.8025, 18.002, idle
1.04867, 42.6909, 1.7475, 0.0666615, 52.9413, 15.1054, idle
0.98813, 68.5102, 1.72625, 0.0489738, 61.4888, 18.735, idle
1.00005, 61.2002, 1.735, 0.0377492, 65.5725, 18.5475, idle
1.05499, 54.2018, 1.75125, 0.0425551, 67.4, 17.2894, idle
1.06569, 44.5661, 1.755, 0.047697, 67.135, 17.2453, idle
1.03247, 36.9164, 1.75875, 0.0483315, 65.6175, 17.4592, idle
1.03566, 4.34379, 1.76875, 0.0431386, 59.875, 26.5005, idle
1.04062, 2.46274, 1.7725, 0.0435172, 55.7563, 31.8212, idle
1.0557, 3.24683, 1.7775, 0.0452079, 47.4588, 35.1863, idle
1.04322, 3.07094, 1.78875, 0.0344374, 35.7163, 31.6617, idle
1.06226, 3.00722, 1.8025, 0.0185405, 26.335, 28.3939, idle
1.04043, 2.2865, 1.79875, 0.0176334, 19.0538, 25.8036, idle
1.05934, 3.42942, 1.7975, 0.0156125, 11.115, 17.6833, idle
1.05114, 2.14002, 1.80125, 0.0145237, 4.25125, 0.885811, idle
1.04139, 1.74428, 1.8025, 0.0129904, 3.88625, 1.02301, idle
1.06513, 1.82746, 1.8075, 0.0147902, 3.74, 1.12229, idle
1.04537, 2.00569, 1.80625, 0.0149478, 3.56875, 1.04474, idle
1.05276, 3.25357, 1.80875, 0.0136359, 3.65625, 1.15512, idle
1.05688, 6.51725, 1.80875, 0.0136359, 4.3975, 2.37292, idle
1.05612, 4.88657, 1.8125, 0.0119896, 4.87875, 2.47164, idle
1.06193, 4.94344, 1.81375, 0.0131696, 5.1075, 2.60606, idle
1.06344, 6.18813, 1.81625, 0.0140868, 5.83625, 2.71377, idle
1.06799, 10.2764, 1.8225, 0.0119896, 7.3175, 3.47836, idle
1.08715, 17.5048, 1.8275, 0.0198431, 10.7813, 7.91888, idle
1.08347, 19.8274, 1.83375, 0.0179844, 14.3775, 10.029, idle
1.12009, 21.7868, 1.8475, 0.0315238, 16.7425, 9.85059, idle
1.07508, 23.089, 1.85, 0.03, 20.2775, 11.6645, idle
1.05849, 36.8074, 1.85, 0.03, 26.5512, 15.6759, idle
1.03015, 41.7147, 1.84375, 0.0377285, 33.6212, 18.023, idle
1.03774, 26.8127, 1.83875, 0.0416646, 37.5538, 15.4177, idle
1.02811, 7.15341, 1.83125, 0.0459449, 37.115, 16.1131, idle
1.0685, 10.875, 1.82875, 0.0442825, 35.6475, 17.1748, idle
1.06442, 15.0467, 1.8275, 0.0438035, 34.5162, 17.654, idle
1.05243, 12.2326, 1.815, 0.0264575, 33.615, 18.3254, idle
1.02176, 10.3169, 1.805, 0.03, 30.7525, 19.1598, idle
