@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.02976, 0.964365, 1.625, 0.0180278, 2.2275, 0.622349, idle
1.0222, 2.241, 1.63, 0.0187083, 2.2375, 0.637863, idle
1.0222, 1.70159, 1.635, 0.0180278, 2.2375, 0.637863, idle
1.0222, 2.18628, 1.63875, 0.0176334, 2.2425, 0.642704, idle
1.01366, 1.70605, 1.64125, 0.0145237, 2.33, 0.64593, idle
1.01617, 0.869138, 1.64375, 0.0121835, 2.15625, 0.694693, idle
1.01218, 1.18157, 1.645, 0.01, 2.1625, 0.690593, idle
1.0222, 0.83, 1.645, 0.01, 2.14125, 0.718252, idle
1.02377, 0.936429, 1.64375, 0.00856957, 2.1075, 0.745885, idle
1.01971, 0.441135, 1.6425, 0.00829156, 1.77875, 0.749457, idle
1.01469, 0.997196, 1.64125, 0.00780625, 1.68375, 0.706557, idle
1.01617, 0.589067, 1.64, 0.00707107, 1.42875, 0.58678, idle
1.0222, 1.65605, 1.6425, 0.00661438, 1.4275, 0.584161, idle
1.01971, 0.84309, 1.6425, 0.00661438, 1.42, 0.585363, idle
1.0222, 1.00424, 1.645, 0.005, 1.4125, 0.581716, idle
1.02039, 1.10734, 1.64125, 0.00927025, 1.45375, 0.573279, idle
1.02039, 1.67299, 1.6375, 0.0108972, 1.55625, 0.623798, idle
1.02039, 1.00185, 1.635, 0.0122474, 1.67, 0.51643, idle
1.02039, 1.39556, 1.6325, 0.0129904, 1.7375, 0.547671, idle
1.02039, 1.14551, 1.63, 0.0132288, 1.86, 0.430232, idle
1.02039, 1.75682, 1.62625, 0.0111102, 1.87375, 0.456233, idle
1.02039, 2.12645, 1.62375, 0.00992157, 2.11625, 0.5844, idle
1.01277, 2.20599, 1.61875, 0.00330719, 2.3775, 0.765584, idle
1.01277, 1.2936, 1.6175, 0.00433013, 2.4325, 0.71314, idle
1.01277, 1.4734, 1.61625, 0.00484123, 2.455, 0.70859, idle
1.01277, 1.01321, 1.615, 0.005, 2.44375, 0.723739, idle
1.02806, 0.967781, 1.61625, 0.00695971, 2.36375, 0.777431, idle
1.02039, 1.16829, 1.61625, 0.00695971, 2.35, 0.787829, idle
1.00454, 1.17601, 1.6125, 0.0108972, 2.19, 0.817726, idle
1.0222, 0.806846, 1.61625, 0.0165359, 1.95, 0.753575, idle
1.02976, 0.964365, 1.6225, 0.0216506, 1.6875, 0.316178, idle
0.977036, 3.01866, 1.56125, 0.16811, 2.00875, 0.985779, idle
0.985546, 2.99262, 1.49875, 0.222511, 2.25, 1.25025, idle
0.976422, 4.31427, 1.435, 0.252537, 2.75625, 1.5928, idle
0.984581, 2.75053, 1.36875, 0.262032, 2.91125, 1.52989, idle
0.995239, 0.723464, 1.305, 0.255098, 2.8275, 1.60962, idle
0.986357, 1.04805, 1.245, 0.236802, 2.8575, 1.58629, idle
0.976678, 3.31024, 1.1775, 0.182466, 3.26625, 1.55851, idle
0.96566, 4.6921, 1.10625, 0.00856957, 3.88375, 1.76476, idle
0.983717, 3.21705, 1.1025, 0.00829156, 3.87, 1.7604, idle
0.985546, 1.2968, 1.1025, 0.00829156, 3.56125, 1.86774, idle
0.98661, 2.2876, 1.105, 0.01, 3.31875, 1.72181, idle
0.984581, 2.72039, 1.105, 0.01, 3.4525, 1.71943, idle
0.975602, 1.61558, 1.10375, 0.00992157, 3.63625, 1.51862, idle
0.984581, 1.95062, 1.1025, 0.00968246, 3.8125, 1.35947, idle
0.974628, 2.15272, 1.1, 0.01, 3.62625, 1.34215, idle
0.96566, 3.34966, 1.1, 0.01, 3.41125, 0.919911, idle
0.985393, 4.71425, 1.10375, 0.0111102, 3.77125, 1.56555, idle
