@relation exp_4th_11

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
0.26, 0.61, 0.78, 0.68, 1.63, 0.63, 1.02377, 1.87515, 1.65, 2.94, 38.7394
0.27, 0.61, 0.77, 0.37, 0.86, 0.73, 1.01877, 1.18718, 1.65, 2.45, 39.6461
0.26, 0.61, 0.76, -0.19, 1.62, 0.88, 1.00861, 1.85335, 1.64333, 2.53, 40.5358
0.27, 0.62, 0.77, 0.55, 2.18, 0.7, 1.02479, 2.35476, 1.6475, 2.755, 39.6461
0.27, 0.62, 0.77, 0.24, 0.71, 1.19, 1.02479, 1.40634, 1.65, 2.632, 39.6461
0.26, 0.61, 0.77, -0.42, 2.74, 1.19, 1.01617, 3.01664, 1.64833, 2.91833, 39.6461
0.25, 0.62, 0.77, 1.04, 1.58, 0.99, 1.01971, 2.13497, 1.64714, 3.01714, 39.6461
0.26, 0.61, 0.77, 0.64, 1.67, 0.42, 1.01617, 1.83709, 1.64625, 2.98125, 39.6461
0.26, 0.61, 0.76, 0.31, 1.23, 0.21, 1.00861, 1.28573, 1.64444, 2.84444, 40.5358
0.26, 0.61, 0.77, 0.68, -0.06, 0.6, 1.01617, 0.908845, 1.644, 2.694, 39.6461
0.26, 0.62, 0.76, 0.67, 1.82, 0.35, 1.01469, 1.97074, 1.64364, 2.70727, 40.5358
0.26, 0.62, 0.77, 0.16, 1.41, 0.61, 1.0222, 1.5446, 1.64417, 2.66333, 39.6461
0.26, 0.61, 0.77, 0.43, 0.57, 0.62, 1.01617, 0.945621, 1.64385, 2.58308, 39.6461
0.26, 0.62, 0.78, 0.51, 1.43, 0.63, 1.02976, 1.64375, 1.645, 2.58214, 38.7394
0.25, 0.62, 0.77, 0.34, 1.85, 0.5, 1.01971, 1.9463, 1.64467, 2.58933, 39.6461
0.26, 0.62, 0.77, 0.23, 0.5, 0.59, 1.0222, 0.806846, 1.645, 2.51, 39.6461
