@relation TestSet

@attribute	Asmv	numeric
@attribute	Gsmv	numeric
@attribute	Aavg	numeric
@attribute	Astdev	numeric
@attribute	Gavg	numeric
@attribute	Gstdev	numeric
@attribute	state	{ unknown, idle, walk, active }


@data
1.0222, 0.806846, 1.62333, 0.0152753, 2.01167, 0.754551, idle
1.02976, 0.964365, 1.62444, 0.0170692, 2.06944, 0.682117, idle
1.0222, 2.241, 1.625, 0.0177169, 2.15667, 0.725726, idle
1.0222, 1.70159, 1.62556, 0.0183249, 2.24556, 0.653395, idle
1.0222, 2.18628, 1.62556, 0.0183249, 2.25833, 0.663352, idle
1.01366, 1.70605, 1.625, 0.0180278, 2.33389, 0.626313, idle
1.01617, 0.869138, 1.62667, 0.0179505, 2.22, 0.606346, idle
1.01218, 1.18157, 1.62722, 0.0178903, 2.20611, 0.614493, idle
1.0222, 0.83, 1.62944, 0.0180961, 2.16611, 0.657032, idle
1.02377, 0.936429, 1.63222, 0.0171774, 2.105, 0.674975, idle
1.01971, 0.441135, 1.63333, 0.0169967, 2.04333, 0.752655, idle
1.01469, 0.997196, 1.635, 0.0160728, 2.05444, 0.7457, idle
1.01617, 0.589067, 1.63667, 0.0149071, 1.925, 0.743044, idle
1.0222, 1.65605, 1.63889, 0.0136987, 1.93667, 0.752625, idle
1.01971, 0.84309, 1.64, 0.0129099, 1.85111, 0.732332, idle
1.0222, 1.00424, 1.64222, 0.0108298, 1.835, 0.732949, idle
1.02039, 1.10734, 1.64222, 0.0108298, 1.76444, 0.701944, idle
1.02039, 1.67299, 1.64222, 0.0108298, 1.79389, 0.708866, idle
1.02039, 1.00185, 1.64056, 0.011772, 1.80556, 0.702671, idle
1.02039, 1.39556, 1.63833, 0.0116667, 1.83667, 0.707916, idle
1.02039, 1.14551, 1.63667, 0.0120185, 1.75722, 0.619577, idle
1.02039, 1.75682, 1.635, 0.0121335, 1.775, 0.643059, idle
1.02039, 2.12645, 1.63333, 0.0120185, 1.795, 0.681561, idle
1.01277, 2.20599, 1.63222, 0.0131468, 1.85611, 0.796075, idle
1.01277, 1.2936, 1.63056, 0.0139333, 1.88722, 0.786969, idle
1.01277, 1.4734, 1.62944, 0.0147091, 1.92389, 0.794132, idle
1.01277, 1.01321, 1.62722, 0.0144551, 1.94, 0.781103, idle
1.02806, 0.967781, 1.62611, 0.0133911, 1.95056, 0.774858, idle
1.02039, 1.16829, 1.625, 0.0130171, 2.01111, 0.708236, idle
1.00454, 1.17601, 1.62222, 0.0147406, 2, 0.714881, idle
1.0222, 0.806846, 1.62278, 0.0155655, 2.02667, 0.679174, idle
1.02976, 0.964365, 1.62333, 0.0166667, 1.97167, 0.666435, idle
0.977036, 3.01866, 1.59444, 0.1162, 2.14889, 0.860232, idle
0.985546, 2.99262, 1.56444, 0.159591, 2.29611, 0.983594, idle
0.976422, 4.31427, 1.53556, 0.190911, 2.51889, 1.20314, idle
0.984581, 2.75053, 1.50667, 0.213905, 2.55278, 1.20255, idle
0.995239, 0.723464, 1.47833, 0.230175, 2.52556, 1.23062, idle
0.986357, 1.04805, 1.45, 0.242074, 2.49778, 1.24278, idle
0.976678, 3.31024, 1.42167, 0.250228, 2.65167, 1.31852, idle
0.96566, 4.6921, 1.39222, 0.256267, 2.865, 1.5995, idle
0.983717, 3.21705, 1.36278, 0.258839, 2.92833, 1.63527, idle
0.985546, 1.2968, 1.335, 0.257644, 2.82222, 1.63982, idle
0.98661, 2.2876, 1.30778, 0.252994, 2.91278, 1.63249, idle
0.984581, 2.72039, 1.27944, 0.246023, 2.99611, 1.64193, idle
0.975602, 1.61558, 1.25111, 0.235464, 3.05556, 1.60343, idle
0.984581, 1.95062, 1.22167, 0.218791, 3.14167, 1.56299, idle
0.974628, 2.15272, 1.19222, 0.197865, 3.21889, 1.5242, idle
0.96566, 3.34966, 1.16444, 0.173693, 3.40778, 1.50759, idle
0.985393, 4.71425, 1.135, 0.127726, 3.73778, 1.65716, idle
0.983717, 8.13739, 1.10333, 0.0105409, 4.38722, 2.68656, idle
0.984937, 13.3085, 1.10278, 0.00989139, 5.27611, 4.56426, idle
0.98453, 19.9514, 1.10278, 0.00989139, 6.55389, 6.79303, idle
0.992925, 23.8936, 1.10222, 0.010304, 8.235, 9.51906, idle
0.986357, 24.7043, 1.10278, 0.0104379, 10.2517, 11.7435, idle
0.958853, 21.2561, 1.10111, 0.0114934, 12.1406, 12.7971, idle
0.957549, 23.6951, 1.09889, 0.013287, 14.0628, 13.6571, idle
1.00812, 23.8426, 1.10333, 0.0247207, 15.7411, 14.234, idle
1.00025, 14.0756, 1.10889, 0.031427, 16.4617, 14.0805, idle
